ああ brush
かの celery
かは man
かひ act
かふ limb
かへ slice
かほ daughter
かま scrap
かみ vehicle
かむ consider
かめ pond
かも erosion
かや inspire
かゆ chuckle
かよ bean
から foster
かり mask
かる spatial
かれ fat
かろ enemy
かわ swallow
かを discover
かん shell
かが afraid
かぎ front
かぐ monkey
かげ divert
かご bargain
かざ innocent
かじ runway
かず extra
かぜ resource
かぞ thumb
かだ clerk
かで round
かど net
かば source
かび clinic
かぶ clutch
かべ hub
かぼ tone
かぱ gift
かぴ dirt
かぷ scene
かぺ reject
かぽ shine
きあ alley
きい pledge
きう mad
きえ test
きお knee
きか carry
きき price
きく day
きけ apple
きこ stem
きさ gossip
きし topic
きす solve
きせ food
きそ twin
きた weather
きち galaxy
きつ suffer
きて stuff
きと situate
きな coffee
きに glare
きぬ danger
きね camp
きの gown
きは cart
きひ endorse
きふ express
きへ defy
きほ ride
きま luggage
きみ gown
きむ cage
きめ basic
きも turkey
きや load
きゆ west
きよ lazy
きら kit
きり special
きる grace
きれ happy
きろ slight
きわ little
きを goose
きん concert
きが crew
きぎ liar
きぐ common
きげ nominee
きご orchard
きざ gather
きじ tail
きず giggle
きぜ width
きぞ salt
きだ river
きで trick
きど attack
きば label
きび devote
きぶ lemon
きべ wave
きぼ bike
きぱ dignity
きぴ bleak
きぷ mushroom
きぺ cattle
きぽ setup
くあ hero
くい allow
くう wild
くえ rapid
くお cook
くか pencil
くき cement
くく wolf
くけ tape
くこ stem
くさ genre
くし custom
くす become
くせ mushroom
くそ ahead
くた humble
くち labor
くつ alarm
くて dash
くと case
くな empty
くに extend
くぬ become
くね viable
くの heart
くは sample
くひ car
くふ allow
くへ tired
くほ lake
くま dune
くみ birth
くむ glad
くめ rally
くも collect
くや fire
くゆ reopen
くよ destroy
くら curve
くり million
くる lock
くれ neglect
くろ crowd
くわ hint
くを fine
くん deposit
くが seat
くぎ panic
くぐ project
くげ finish
くご muscle
くざ sheriff
くじ captain
くず vehicle
くぜ exotic
くぞ grief
くだ cradle
くで price
くど scatter
くば never
くび snap
くぶ section
くべ good
くぼ program
くぱ noodle
くぴ rate
くぷ hero
くぺ habit
くぽ echo
けあ nasty
けい warrior
けう buyer
けえ twice
けお alter
けか stove
けき juice
けく spare
けけ day
けこ mansion
けさ candy
けし engine
けす define
けせ transfer
けそ border
けた kite
けち debris
けつ tonight
けて kitchen
けと result
けな winter
けに popular
けぬ demise
けね proud
けの confirm
けは destroy
けひ add
けふ cart
けへ thrive
けほ taxi
けま hedgehog
けみ fun
けむ agent
けめ extend
けも plastic
けや rubber
けゆ there
けよ decorate
けら expand
けり favorite
ける final
けれ road
けろ retreat
けわ raw
けを find
けん parent
けが stairs
けぎ genius
けぐ music
けげ desert
けご clarify
けざ suggest
けじ rabbit
けず skirt
けぜ valve
けぞ digital
けだ repair
けで bubble
けど minor
けば hockey
けび sand
けぶ noise
けべ bid
けぼ term
けぱ puzzle
けぴ rapid
けぷ face
けぺ original
けぽ coil
こあ artefact
こい spare
こう about
こえ icon
こお type
こか one
こき swing
こく ready
こけ inherit
ここ pelican
こさ absurd
こし gossip
こす match
こせ client
こそ tent
こた vendor
こち sure
こつ rail
こて labor
こと scout
こな consider
こに spike
こぬ ozone
こね disagree
この vital
こは method
こひ setup
こふ layer
こへ setup
こほ input
こま away
こみ rent
こむ shuffle
こめ invest
こも agent
こや auction
こゆ rural
こよ cabin
こら carry
こり summer
こる program
これ buyer
ころ peanut
こわ rib
こを raise
こん sing
こが tunnel
こぎ indicate
こぐ weather
こげ crater
こご guess
こざ glue
こじ pen
こず goat
こぜ unique
こぞ good
こだ agent
こで know
こど bounce
こば frame
こび pattern
こぶ exchange
こべ public
こぼ nerve
こぱ ugly
こぴ outside
こぷ thank
こぺ oppose
こぽ sausage
さあ cake
さい kitten
さう mushroom
さえ pull
さお nephew
さか label
さき arena
さく tonight
さけ monster
さこ grab
ささ permit
さし clean
さす hip
させ leisure
さそ hero
さた below
さち scrap
さつ canal
さて track
さと assume
さな follow
さに job
さぬ stamp
さね habit
さの budget
さは parrot
さひ gravity
さふ bonus
さへ express
さほ want
さま camera
さみ install
さむ feed
さめ beach
さも crunch
さや unable
さゆ sibling
さよ divert
さら sense
さり catch
さる brick
され burden
さろ still
さわ express
さを chief
さん alert
さが cycle
さぎ sketch
さぐ total
さげ marble
さご shift
さざ addict
さじ corn
さず adapt
さぜ taste
さぞ cliff
さだ since
さで dragon
さど alert
さば asset
さび surface
さぶ flock
さべ bulb
さぼ fix
さぱ waste
さぴ flock
さぷ file
さぺ crash
さぽ provide
しあ curve
しい table
しう subject
しえ indicate
しお swap
しか pill
しき route
しく emerge
しけ act
しこ slim
しさ remove
しし shallow
しす copper
しせ misery
しそ match
した glimpse
しち glue
しつ inherit
して damp
しと buffalo
しな height
しに shrug
しぬ auto
しね figure
しの employ
しは milk
しひ sphere
しふ actual
しへ language
しほ awake
しま hammer
しみ attack
しむ network
しめ blur
しも defense
しや age
しゆ hurdle
しよ usual
しら cement
しり rigid
しる fever
しれ frog
しろ trade
しわ stomach
しを spot
しん clever
しが myth
しぎ scout
しぐ fuel
しげ green
しご faint
しざ emerge
しじ sadness
しず dash
しぜ addict
しぞ scene
しだ vital
しで blast
しど sadness
しば globe
しび merry
しぶ start
しべ lobster
しぼ fabric
しぱ veteran
しぴ plug
しぷ fish
しぺ flower
しぽ friend
すあ rally
すい segment
すう square
すえ office
すお scheme
すか beef
すき fatal
すく any
すけ chaos
すこ scrub
すさ coil
すし differ
すす home
すせ era
すそ shove
すた either
すち other
すつ ticket
すて toilet
すと torch
すな weird
すに afford
すぬ awake
すね combine
すの man
すは patrol
すひ grace
すふ odor
すへ spray
すほ fence
すま file
すみ dial
すむ length
すめ flat
すも slot
すや apart
すゆ tag
すよ shoot
すら fruit
すり primary
する increase
すれ useful
すろ urge
すわ mom
すを witness
すん iron
すが armed
すぎ scheme
すぐ jump
すげ myself
すご state
すざ fever
すじ another
すず toilet
すぜ cherry
すぞ legal
すだ roof
すで bracket
すど grow
すば park
すび test
すぶ happy
すべ escape
すぼ judge
すぱ gold
すぴ laptop
すぷ fly
すぺ resource
すぽ weapon
せあ mom
せい start
せう east
せえ laugh
せお master
せか color
せき refuse
せく cram
せけ biology
せこ erase
せさ capital
せし fever
せす trust
せせ music
せそ increase
せた zebra
せち nose
せつ pull
せて garden
せと weasel
せな daughter
せに seek
せぬ rare
せね fortune
せの idle
せは track
せひ near
せふ achieve
せへ start
せほ interest
せま adult
せみ sense
せむ lottery
せめ unit
せも begin
せや dirt
せゆ feed
せよ ring
せら shock
せり illegal
せる bubble
せれ illegal
せろ lizard
せわ fortune
せを slow
せん walnut
せが total
せぎ hedgehog
せぐ rhythm
せげ cargo
せご attend
せざ because
せじ ceiling
せず champion
せぜ either
せぞ fluid
せだ explain
せで ketchup
せど wise
せば clump
せび basic
せぶ lucky
せべ emotion
せぼ aim
せぱ situate
せぴ market
せぷ liquid
せぺ lounge
せぽ aisle
そあ replace
そい put
そう region
そえ earth
そお only
そか animal
そき quarter
そく helmet
そけ eyebrow
そこ model
そさ primary
そし inject
そす buzz
そせ blush
そそ surround
そた episode
そち planet
そつ bean
そて kingdom
そと route
そな utility
そに cover
そぬ begin
そね draft
その lab
そは deliver
そひ radar
そふ scare
そへ card
そほ essence
そま property
そみ antique
そむ year
そめ useful
そも traffic
そや clown
そゆ broccoli
そよ antique
そら result
そり piece
そる flock
それ law
そろ stock
そわ drastic
そを avoid
そん annual
そが where
そぎ dune
そぐ leave
そげ explain
そご festival
そざ fish
そじ onion
そず stairs
そぜ drama
そぞ grief
そだ resemble
そで extend
そど medal
そば little
そび illegal
そぶ dust
そべ scissors
そぼ toddler
そぱ asset
そぴ hawk
そぷ version
そぺ bottom
そぽ extend
たあ december
たい convince
たう priority
たえ panda
たお grab
たか stem
たき future
たく fiber
たけ decide
たこ dirt
たさ erupt
たし business
たす young
たせ midnight
たそ zebra
たた display
たち long
たつ nurse
たて captain
たと typical
たな weather
たに vanish
たぬ floor
たね fabric
たの teach
たは reunion
たひ pink
たふ gorilla
たへ start
たほ thumb
たま hover
たみ cotton
たむ radar
ため note
たも weapon
たや brief
たゆ shoot
たよ scene
たら key
たり blast
たる grunt
たれ tongue
たろ spread
たわ attack
たを obscure
たん gesture
たが stuff
たぎ absurd
たぐ response
たげ tip
たご bamboo
たざ toddler
たじ uncle
たず script
たぜ clump
たぞ dice
ただ thing
たで key
たど shop
たば spike
たび embody
たぶ pass
たべ blossom
たぼ love
たぱ guard
たぴ bar
たぷ behind
たぺ trim
たぽ element
ちあ ready
ちい frown
ちう century
ちえ limit
ちお dose
ちか ribbon
ちき possible
ちく camp
ちけ strike
ちこ sad
ちさ pink
ちし spell
ちす tumble
ちせ betray
ちそ impact
ちた champion
ちち link
ちつ film
ちて manual
ちと breeze
ちな jaguar
ちに leave
ちぬ deer
ちね annual
ちの one
ちは exercise
ちひ wild
ちふ corn
ちへ either
ちほ side
ちま thunder
ちみ valid
ちむ region
ちめ faith
ちも put
ちや cry
ちゆ slim
ちよ idle
ちら whisper
ちり inflict
ちる goat
ちれ rent
ちろ device
ちわ spatial
ちを test
ちん loud
ちが gorilla
ちぎ vendor
ちぐ rocket
ちげ negative
ちご slender
ちざ upper
ちじ inspire
ちず again
ちぜ pelican
ちぞ later
ちだ dress
ちで build
ちど voice
ちば gap
ちび bottom
ちぶ stadium
ちべ learn
ちぼ rain
ちぱ blade
ちぴ civil
ちぷ marine
ちぺ region
ちぽ laugh
つあ ramp
つい wool
つう want
つえ scene
つお script
つか enlist
つき top
つく easy
つけ chunk
つこ parrot
つさ wish
つし regular
つす happy
つせ quantum
つそ firm
つた tape
つち bubble
つつ cost
つて transfer
つと call
つな book
つに dwarf
つぬ mammal
つね enrich
つの clump
つは kingdom
つひ insect
つふ hundred
つへ group
つほ dwarf
つま simple
つみ calm
つむ pigeon
つめ lounge
つも dad
つや boil
つゆ wise
つよ boat
つら faculty
つり bulk
つる connect
つれ exhibit
つろ argue
つわ loyal
つを gossip
つん melt
つが foot
つぎ rifle
つぐ beauty
つげ flock
つご usage
つざ cotton
つじ oven
つず diary
つぜ clinic
つぞ awful
つだ property
つで margin
つど hamster
つば mercy
つび between
つぶ round
つべ priority
つぼ situate
つぱ immune
つぴ unable
つぷ winter
つぺ glory
つぽ skill
てあ shiver
てい early
てう office
てえ sport
てお identify
てか task
てき debris
てく industry
てけ bind
てこ visual
てさ senior
てし trust
てす relief
てせ tenant
てそ clerk
てた book
てち renew
てつ piano
てて miss
てと night
てな liquid
てに obey
てぬ panel
てね fabric
ての boring
ては mean
てひ major
てふ neutral
てへ issue
てほ evoke
てま adjust
てみ draw
てむ rebuild
てめ bleak
ても flock
てや maid
てゆ nurse
てよ mandate
てら wire
てり elephant
てる access
てれ mechanic
てろ illegal
てわ spray
てを foam
てん run
てが pink
てぎ burst
てぐ gasp
てげ sail
てご clay
てざ plate
てじ blade
てず miss
てぜ patient
てぞ struggle
てだ diary
てで language
てど response
てば slot
てび inside
てぶ crucial
てべ rapid
てぼ umbrella
てぱ hurry
てぴ uncle
てぷ someone
てぺ fork
てぽ tip
とあ scan
とい ginger
とう pumpkin
とえ top
とお glimpse
とか smart
とき uniform
とく mansion
とけ fury
とこ oil
とさ wrestle
とし clarify
とす gun
とせ rapid
とそ gain
とた unveil
とち artefact
とつ asset
とて aware
とと hover
とな absurd
とに federal
とぬ zebra
とね text
との buyer
とは beef
とひ always
とふ wide
とへ gasp
とほ edge
とま second
とみ improve
とむ suspect
とめ quote
とも bless
とや boil
とゆ step
とよ fuel
とら agent
とり fiction
とる habit
とれ common
とろ frozen
とわ unveil
とを flame
とん gospel
とが fury
とぎ immense
とぐ roof
とげ broom
とご industry
とざ exile
とじ noble
とず pizza
とぜ lamp
とぞ melody
とだ cushion
とで hover
とど erase
とば extend
とび couple
とぶ dune
とべ oppose
とぼ gauge
とぱ script
とぴ dutch
とぷ horn
とぺ unit
とぽ turtle
なあ gospel
ない crime
なう reunion
なえ come
なお draw
なか slim
なき call
なく observe
なけ thing
なこ duty
なさ subject
なし economy
なす orphan
なせ pink
なそ garbage
なた version
なち fever
なつ swim
なて spawn
なと equal
なな pond
なに dwarf
なぬ cruise
なね lesson
なの scene
なは wave
なひ miracle
なふ this
なへ novel
なほ wealth
なま learn
なみ acid
なむ raccoon
なめ aisle
なも cable
なや zebra
なゆ quick
なよ suffer
なら focus
なり kit
なる lesson
なれ mystery
なろ problem
なわ reveal
なを small
なん what
なが fiber
なぎ airport
なぐ cage
なげ dismiss
なご front
なざ appear
なじ slot
なず time
なぜ drill
なぞ answer
なだ stumble
なで refuse
など soul
なば nerve
なび alert
なぶ mail
なべ noble
なぼ view
なぱ crucial
なぴ bike
なぷ alpha
なぺ army
なぽ crystal
にあ history
にい veteran
にう reveal
にえ virus
にお wait
にか left
にき vacuum
にく style
にけ among
にこ catch
にさ common
にし net
にす trick
にせ radar
にそ junior
にた sort
にち dragon
につ elephant
にて flush
にと secret
にな boost
にに genius
にぬ measure
にね select
にの belt
には horror
にひ hunt
にふ sand
にへ small
にほ state
にま chief
にみ destroy
にむ shield
にめ spike
にも march
にや ship
にゆ attitude
によ else
にら flee
にり evolve
にる situate
にれ age
にろ crouch
にわ describe
にを arrange
にん jazz
にが moment
にぎ finger
にぐ gold
にげ feature
にご lottery
にざ child
にじ loop
にず exit
にぜ bracket
にぞ suspect
にだ menu
にで hip
にど kidney
にば vital
にび true
にぶ offer
にべ gesture
にぼ road
にぱ consider
にぴ cupboard
にぷ buddy
にぺ below
にぽ august
ぬあ meadow
ぬい offer
ぬう abuse
ぬえ floor
ぬお vocal
ぬか heart
ぬき physical
ぬく equip
ぬけ betray
ぬこ gloom
ぬさ copper
ぬし sun
ぬす tube
ぬせ arrive
ぬそ orient
ぬた forget
ぬち caution
ぬつ shed
ぬて client
ぬと essence
ぬな clever
ぬに belt
ぬぬ oblige
ぬね hockey
ぬの ask
ぬは video
ぬひ suspect
ぬふ garment
ぬへ list
ぬほ spider
ぬま harsh
ぬみ city
ぬむ dignity
ぬめ coconut
ぬも patient
ぬや screen
ぬゆ east
ぬよ kite
ぬら design
ぬり intact
ぬる dynamic
ぬれ home
ぬろ skirt
ぬわ earth
ぬを skill
ぬん helmet
ぬが bacon
ぬぎ surface
ぬぐ empower
ぬげ eye
ぬご stable
ぬざ drama
ぬじ jacket
ぬず swap
ぬぜ crack
ぬぞ only
ぬだ bus
ぬで nut
ぬど limb
ぬば enough
ぬび vacant
ぬぶ junk
ぬべ extra
ぬぼ confirm
ぬぱ buzz
ぬぴ chaos
ぬぷ volcano
ぬぺ leave
ぬぽ parent
ねあ silent
ねい illegal
ねう winner
ねえ game
ねお aerobic
ねか impulse
ねき year
ねく minute
ねけ canyon
ねこ diagram
ねさ voice
ねし exotic
ねす grocery
ねせ antenna
ねそ cloud
ねた lunar
ねち core
ねつ cause
ねて raw
ねと talk
ねな come
ねに unable
ねぬ protect
ねね immense
ねの spread
ねは plastic
ねひ universe
ねふ physical
ねへ viable
ねほ allow
ねま actress
ねみ scan
ねむ crew
ねめ rigid
ねも silk
ねや priority
ねゆ scout
ねよ keep
ねら silver
ねり version
ねる wash
ねれ clump
ねろ exist
ねわ keep
ねを away
ねん fine
ねが victory
ねぎ laugh
ねぐ eagle
ねげ juice
ねご vibrant
ねざ private
ねじ capital
ねず increase
ねぜ garbage
ねぞ scheme
ねだ universe
ねで miss
ねど zoo
ねば supply
ねび rough
ねぶ museum
ねべ crouch
ねぼ wrong
ねぱ piece
ねぴ treat
ねぷ open
ねぺ cushion
ねぽ wolf
のあ hurdle
のい shiver
のう artwork
のえ seed
のお river
のか pass
のき inject
のく online
のけ filter
のこ average
のさ garbage
のし warrior
のす steak
のせ media
のそ range
のた link
のち drastic
のつ giggle
のて pave
のと often
のな reduce
のに dolphin
のぬ tilt
のね artist
のの toy
のは jealous
のひ sadness
のふ vague
のへ wool
のほ collect
のま ripple
のみ satisfy
のむ matter
のめ bring
のも gadget
のや medal
のゆ mail
のよ garden
のら wall
のり soldier
のる chef
のれ now
のろ forward
のわ flee
のを crawl
のん tumble
のが come
のぎ true
のぐ normal
のげ clay
のご acid
のざ embody
のじ thought
のず side
のぜ stomach
のぞ better
のだ jar
ので harvest
のど large
のば dwarf
のび enable
のぶ patrol
のべ neglect
のぼ trial
のぱ kiss
のぴ dance
のぷ tortoise
のぺ diamond
のぽ until
はあ business
はい raccoon
はう pony
はえ recycle
はお inch
はか hobby
はき bullet
はく describe
はけ property
はこ elevator
はさ swift
はし tortoise
はす palm
はせ fancy
はそ prison
はた dial
はち grow
はつ gather
はて voyage
はと fun
はな rural
はに ginger
はぬ race
はね magic
はの add
はは early
はひ hawk
はふ immune
はへ curious
はほ jelly
はま wall
はみ tape
はむ stool
はめ muscle
はも deliver
はや submit
はゆ vital
はよ slice
はら journey
はり close
はる harsh
はれ find
はろ nasty
はわ sell
はを pilot
はん design
はが sister
はぎ potato
はぐ need
はげ run
はご blade
はざ airport
はじ unveil
はず cup
はぜ over
はぞ belt
はだ gossip
はで riot
はど opera
はば regret
はび sausage
はぶ gospel
はべ wrestle
はぼ dish
はぱ tank
はぴ october
はぷ lyrics
はぺ enable
はぽ crowd
ひあ hobby
ひい business
ひう broken
ひえ round
ひお blame
ひか grunt
ひき verify
ひく cruel
ひけ old
ひこ cattle
ひさ flame
ひし canal
ひす topic
ひせ result
ひそ evil
ひた valve
ひち mobile
ひつ game
ひて level
ひと father
ひな gate
ひに imitate
ひぬ weapon
ひね state
ひの tackle
ひは address
ひひ music
ひふ emerge
ひへ bomb
ひほ bleak
ひま motor
ひみ plastic
ひむ damp
ひめ settle
ひも wrestle
ひや risk
ひゆ coil
ひよ humble
ひら spatial
ひり work
ひる ancient
ひれ bonus
ひろ fabric
ひわ garlic
ひを mimic
ひん scorpion
ひが match
ひぎ first
ひぐ sand
ひげ dentist
ひご leg
ひざ assume
ひじ slender
ひず drive
ひぜ fatigue
ひぞ any
ひだ travel
ひで crisp
ひど lemon
ひば just
ひび melody
ひぶ travel
ひべ slide
ひぼ claw
ひぱ armor
ひぴ coffee
ひぷ soap
ひぺ artist
ひぽ better
ふあ humor
ふい cake
ふう kidney
ふえ empty
ふお grant
ふか capital
ふき hazard
ふく belt
ふけ estate
ふこ cattle
ふさ mule
ふし person
ふす mesh
ふせ panic
ふそ pride
ふた raise
ふち jungle
ふつ grant
ふて match
ふと collect
ふな zero
ふに across
ふぬ bamboo
ふね story
ふの deputy
ふは hazard
ふひ neglect
ふふ dune
ふへ trophy
ふほ river
ふま virtual
ふみ vicious
ふむ surround
ふめ inherit
ふも vicious
ふや reject
ふゆ delay
ふよ board
ふら brisk
ふり noble
ふる dream
ふれ any
ふろ seek
ふわ brush
ふを wheel
ふん faith
ふが project
ふぎ tree
ふぐ tilt
ふげ drill
ふご term
ふざ diagram
ふじ post
ふず normal
ふぜ mouse
ふぞ roof
ふだ sock
ふで wool
ふど woman
ふば vapor
ふび tissue
ふぶ snap
ふべ crime
ふぼ chicken
ふぱ nature
ふぴ purse
ふぷ wolf
ふぺ ripple
ふぽ dilemma
へあ pool
へい jaguar
へう company
へえ fiscal
へお often
へか cream
へき rare
へく roof
へけ thunder
へこ pizza
へさ tooth
へし pink
へす leave
へせ tissue
へそ excess
へた figure
へち milk
へつ portion
へて please
へと skill
へな arrow
へに film
へぬ antenna
へね rude
への divert
へは shed
へひ tragic
へふ empty
へへ mimic
へほ crumble
へま fatigue
へみ stereo
へむ correct
へめ tissue
へも course
へや anxiety
へゆ tank
へよ shield
へら act
へり wrap
へる gadget
へれ tiny
へろ have
へわ chimney
へを print
へん mango
へが fiber
へぎ bless
へぐ donkey
へげ oyster
へご october
へざ entire
へじ arrange
へず grain
へぜ face
へぞ stairs
へだ guitar
へで dial
へど canoe
へば gas
へび talent
へぶ icon
へべ machine
へぼ damp
へぱ organ
へぴ picnic
へぷ venture
へぺ october
へぽ copper
ほあ key
ほい rare
ほう pass
ほえ dry
ほお essay
ほか valve
ほき theme
ほく young
ほけ gold
ほこ rare
ほさ heavy
ほし deposit
ほす enable
ほせ asthma
ほそ hand
ほた rude
ほち damp
ほつ toilet
ほて right
ほと picture
ほな excite
ほに island
ほぬ dice
ほね involve
ほの clever
ほは they
ほひ pumpkin
ほふ equal
ほへ nephew
ほほ fat
ほま poet
ほみ logic
ほむ act
ほめ develop
ほも powder
ほや sauce
ほゆ idle
ほよ party
ほら sustain
ほり mutual
ほる what
ほれ muffin
ほろ educate
ほわ chef
ほを midnight
ほん stool
ほが hen
ほぎ first
ほぐ say
ほげ donate
ほご because
ほざ have
ほじ harbor
ほず beyond
ほぜ nest
ほぞ dial
ほだ flag
ほで caution
ほど ozone
ほば hello
ほび unique
ほぶ puzzle
ほべ parade
ほぼ average
ほぱ reunion
ほぴ swallow
ほぷ topic
ほぺ stumble
ほぽ glad
まあ what
まい flower
まう orchard
まえ conduct
まお minute
まか frog
まき quantum
まく dove
まけ plunge
まこ hollow
まさ aware
まし fun
ます zone
ませ festival
まそ resemble
また receive
まち assault
まつ segment
まて type
まと lyrics
まな loyal
まに sponsor
まぬ road
まね chase
まの warrior
まは december
まひ exact
まふ casual
まへ jacket
まほ scan
まま culture
まみ model
まむ vicious
まめ family
まも curtain
まや sign
まゆ wisdom
まよ romance
まら verb
まり tooth
まる carpet
まれ trouble
まろ cattle
まわ recycle
まを erosion
まん drop
まが drum
まぎ chef
まぐ desk
まげ quality
まご brief
まざ such
まじ desert
まず tiny
まぜ pluck
まぞ beef
まだ account
まで network
まど protect
まば afford
まび correct
まぶ around
まべ region
まぼ before
まぱ delay
まぴ vocal
まぷ salad
まぺ exhibit
まぽ luggage
みあ click
みい upgrade
みう now
みえ orchard
みお card
みか broken
みき hill
みく term
みけ practice
みこ elder
みさ museum
みし blue
みす police
みせ brave
みそ bracket
みた used
みち best
みつ grow
みて equal
みと nation
みな daring
みに timber
みぬ account
みね ski
みの flush
みは scrub
みひ glass
みふ struggle
みへ install
みほ sell
みま biology
みみ mom
みむ mass
みめ dune
みも cradle
みや vacant
みゆ amateur
みよ manage
みら yard
みり kiwi
みる clutch
みれ sport
みろ rule
みわ economy
みを polar
みん long
みが school
みぎ record
みぐ near
みげ divert
みご code
みざ cheese
みじ face
みず only
みぜ mandate
みぞ team
みだ chef
みで culture
みど rain
みば fuel
みび stuff
みぶ menu
みべ share
みぼ fabric
みぱ pupil
みぴ history
みぷ garment
みぺ evolve
みぽ gift
むあ sudden
むい cruise
むう bid
むえ almost
むお region
むか attend
むき stick
むく juice
むけ auto
むこ series
むさ delay
むし cheese
むす high
むせ dust
むそ lounge
むた forward
むち glass
むつ arrow
むて dash
むと oblige
むな utility
むに various
むぬ earn
むね primary
むの exhaust
むは aspect
むひ pencil
むふ seven
むへ west
むほ flame
むま peanut
むみ gap
むむ good
むめ mother
むも chair
むや nominee
むゆ exile
むよ hover
むら swap
むり undo
むる balcony
むれ predict
むろ defy
むわ wonder
むを timber
むん later
むが say
むぎ avocado
むぐ horse
むげ material
むご legend
むざ zoo
むじ sport
むず helmet
むぜ abandon
むぞ unlock
むだ shallow
むで nest
むど frequent
むば claim
むび turn
むぶ remove
むべ dynamic
むぼ tortoise
むぱ chat
むぴ music
むぷ science
むぺ route
むぽ same
めあ pistol
めい suit
めう unusual
めえ must
めお alarm
めか anxiety
めき praise
めく grace
めけ bless
めこ pond
めさ end
めし plastic
めす where
めせ myth
めそ scare
めた credit
めち address
